variant,N,T,batch,order_position,repetition,elapsed_ns,seed,checksum,time_s,vectors_per_s,elements_per_s,ns_per_element,gflop_per_s_3flop_convention,x_payload_gb_per_s
baseline_v3,16384,2048,3,6,16,37233865,42,21978482.1873,0.037233865,440029.526884,901180471.058,1.10965564847,2.70354141317,7.20944376846
baseline_v3,16384,2048,3,6,17,37286343,42,21978482.1873,0.037286343,439410.215156,899912120.639,1.11121961474,2.69973636192,7.19929696511
baseline_v3,16384,2048,3,6,18,39545508,42,21978482.1873,0.039545508,414307.485948,848501731.221,1.1785479784,2.54550519366,6.78801384977
baseline_v3,16384,256,3,7,13,4799640,42,2602783.10434,0.00479964,3413589.35253,873878874.249,1.144323349,2.62163662275,6.99103099399
baseline_v3,16384,256,3,7,14,4837364,42,2602783.10434,0.004837364,3386968.60522,867063962.935,1.15331745148,2.60119188881,6.93651170348
baseline_v3,16384,256,3,7,15,4752079,42,2602783.10434,0.004752079,3447754.13035,882625057.37,1.13298392296,2.64787517211,7.06100045896
baseline_v3,16384,256,3,7,16,4739063,42,2602783.10434,0.004739063,3457223.506,885049217.535,1.12988066673,2.65514765261,7.08039374028
baseline_v3,16384,256,3,7,17,4861529,42,2602783.10434,0.004861529,3370133.14124,862754084.157,1.15907883644,2.58826225247,6.90203267326
baseline_v3,16384,256,3,7,18,4807939,42,2602783.10434,0.004807939,3407697.14424,872370468.926,1.14630198479,2.61711140678,6.97896375141
baseline_v3,16384,512,3,8,13,8571698,42,5365761.84264,0.008571698,1911406.58479,978640171.411,1.02182602882,2.93592051423,7.82912137128
baseline_v3,16384,512,3,8,14,9407100,42,5365761.84264,0.0094071,1741663.21183,891731564.457,1.12141370773,2.67519469337,7.13385251565
baseline_v3,16384,512,3,8,15,9102668,42,5365761.84264,0.009102668,1799911.85002,921554867.21,1.0851225853,2.76466460163,7.37243893768
baseline_v3,16384,512,3,8,16,9342495,42,5365761.84264,0.009342495,1753707.11999,897898045.436,1.11371219158,2.69369413631,7.18318436349
baseline_v3,16384,512,3,8,17,9559120,42,5365761.84264,0.00955912,1713965.30225,877550234.75,1.13953590393,2.63265070425,7.020401878
baseline_v3,16384,512,3,8,18,9190682,42,5365761.84264,0.009190682,1782675.10507,912729653.795,1.09561467171,2.73818896139,7.30183723036
baseline_v3,16384,2048,4,1,19,38432683,42,21978482.1873,0.038432683,426303.831039,873070245.967,1.14538320899,2.6192107379,6.98456196774
baseline_v3,16384,2048,4,1,20,43482634,42,21978482.1873,0.043482634,376794.101296,771674319.454,1.29588347673,2.31502295836,6.17339455563
baseline_v3,16384,2048,4,1,21,39546987,42,21978482.1873,0.039546987,414291.991448,848469998.486,1.17859205604,2.54540999546,6.78775998788
baseline_v3,16384,2048,4,1,22,38917761,42,21978482.1873,0.038917761,420990.303116,862188140.782,1.15983965993,2.58656442235,6.89750512626
baseline_v3,16384,2048,4,1,23,38136731,42,21978482.1873,0.038136731,429612.071365,879845522.156,1.13656315207,2.63953656647,7.03876417724
baseline_v3,16384,2048,4,1,24,37219199,42,21978482.1873,0.037219199,440202.917854,901535575.766,1.10921856761,2.7046067273,7.21228460612
baseline_v3,16384,1024,4,2,19,19603970,42,10771937.6728,0.01960397,835749.085517,855807063.569,1.16848766804,2.56742119071,6.84645650855
baseline_v3,16384,1024,4,2,20,18435889,42,10771937.6728,0.018435889,888701.380226,910030213.352,1.09886461496,2.73009064006,7.28024170681
baseline_v3,16384,1024,4,2,21,18395016,42,10771937.6728,0.018395016,890676.03964,912052264.592,1.09642839432,2.73615679378,7.29641811673
baseline_v3,16384,1024,4,2,22,18717321,42,10771937.6728,0.018717321,875338.944072,896347078.73,1.11563926935,2.68904123619,7.17077662984
baseline_v3,16384,1024,4,2,23,18400636,42,10771937.6728,0.018400636,890404.005601,911773701.735,1.09676337242,2.73532110521,7.29418961388
baseline_v3,16384,1024,4,2,24,18211030,42,10771937.6728,0.01821103,899674.537904,921266726.813,1.08546197414,2.76380018044,7.37013381451
baseline_v3,16384,128,4,3,19,1926302,42,1284671.27128,0.001926302,8505416.07702,1088693257.86,0.918532371521,3.26607977358,8.70954606287
baseline_v3,16384,128,4,3,20,1890021,42,1284671.27128,0.001890021,8668686.75004,1109591904.01,0.901232242584,3.32877571202,8.87673523204
baseline_v3,16384,128,4,3,21,2507956,42,1284671.27128,0.002507956,6532809.9855,836199678.144,1.19588661194,2.50859903443,6.68959742515
baseline_v3,16384,128,4,3,22,2196110,42,1284671.27128,0.00219611,7460464.1844,954939415.603,1.0471868515,2.86481824681,7.63951532482
baseline_v3,16384,128,4,3,23,2282496,42,1284671.27128,0.002282496,7178106.77434,918797667.115,1.08837890625,2.75639300135,7.35038133692
baseline_v3,16384,128,4,3,24,2339547,42,1284671.27128,0.002339547,7003065.12329,896392335.781,1.11558294296,2.68917700734,7.17113868625
baseline_v3,16384,4096,4,4,19,74911145,42,44120056.6544,0.074911145,218712.449262,895846192.179,1.11626304686,2.68753857654,7.16676953743
baseline_v3,16384,4096,4,4,20,74382513,42,44120056.6544,0.074382513,220266.825349,902212916.63,1.10838581622,2.70663874989,7.21770333304
baseline_v3,16384,4096,4,4,21,76523495,42,44120056.6544,0.076523495,214104.17807,876970713.374,1.14028893411,2.63091214012,7.01576570699
baseline_v3,16384,4096,4,4,22,77623045,42,44120056.6544,0.077623045,211071.338415,864548202.148,1.1566735059,2.59364460644,6.91638561718
baseline_v3,16384,4096,4,4,23,73426382,42,44120056.6544,0.073426382,223135.057914,913961197.217,1.09413835406,2.74188359165,7.31168957773
baseline_v3,16384,4096,4,4,24,71283371,42,44120056.6544,0.071283371,229843.22669,941437856.523,1.06220500171,2.82431356957,7.53150285219
baseline_v3,16384,512,4,5,19,9436291,42,5365761.84264,0.009436291,1736275.40736,888973008.569,1.1248935461,2.66691902571,7.11178406855
baseline_v3,16384,512,4,5,20,9227268,42,5365761.84264,0.009227268,1775606.821,909110692.352,1.09997606277,2.72733207706,7.27288553882
baseline_v3,16384,512,4,5,21,9406275,42,5365761.84264,0.009406275,1741815.9686,891809775.921,1.12131536007,2.67542932776,7.13447820737
baseline_v3,16384,512,4,5,22,9265793,42,5365761.84264,0.009265793,1768224.26316,905330822.737,1.10456860065,2.71599246821,7.2426465819
baseline_v3,16384,512,4,5,23,9081500,42,5365761.84264,0.0090815,1804107.251,923702912.514,1.08259916306,2.77110873754,7.38962330012
baseline_v3,16384,512,4,5,24,9215988,42,5365761.84264,0.009215988,1777780.0926,910223407.409,1.09863138199,2.73067022223,7.28178725927
baseline_v3,16384,32,4,6,19,499669,42,352736.719945,0.000499669,32789706.7859,1049270617.15,0.953042984009,3.14781185145,8.39416493719
baseline_v3,16384,32,4,6,20,514088,42,352736.719945,0.000514088,31870030.0338,1019840961.08,0.980545043945,3.05952288324,8.15872768864
baseline_v3,16384,32,4,6,21,468912,42,352736.719945,0.000468912,34940457.9111,1118094653.15,0.894378662109,3.35428395946,8.94475722524
baseline_v3,16384,32,4,6,22,609063,42,352736.719945,0.000609063,26900337.0751,860810786.405,1.16169548035,2.58243235921,6.88648629124
baseline_v3,16384,32,4,6,23,663968,42,352736.719945,0.000663968,24675887.9946,789628415.827,1.26641845703,2.36888524748,6.31702732662
baseline_v3,16384,32,4,6,24,684237,42,352736.719945,0.000684237,23944919.6696,766237429.429,1.30507850647,2.29871228829,6.12989943543
baseline_v3,16384,256,4,7,19,4410968,42,2602783.10434,0.004410968,3714377.43371,950880623.029,1.05165672302,2.85264186909,7.60704498423
baseline_v3,16384,256,4,7,20,4469807,42,2602783.10434,0.004469807,3665482.64836,938363557.979,1.0656850338,2.81509067394,7.50690846383
baseline_v3,16384,256,4,7,21,4923288,42,2602783.10434,0.004923288,3327857.31812,851931473.438,1.17380332947,2.55579442031,6.8154517875
baseline_v3,16384,256,4,7,22,4580679,42,2602783.10434,0.004580679,3576762.30969,915651151.281,1.0921189785,2.74695345384,7.32520921025
baseline_v3,16384,256,4,7,23,4192458,42,2602783.10434,0.004192458,3907969.97847,1000440314.49,0.999559879303,3.00132094347,8.00352251591
baseline_v3,16384,256,4,7,24,4704144,42,2602783.10434,0.004704144,3482886.5783,891618964.045,1.12155532837,2.67485689214,7.13295171236
