variant,N,T,batch,order_position,repetition,elapsed_ns,seed,checksum
baseline_v3,16384,1024,2,15,8,18499030,42,10771937.672788229
baseline_v3,16384,1024,2,15,9,17756909,42,10771937.672788229
baseline_v3,16384,1024,2,15,10,18544507,42,10771937.672788229
baseline_v3,16384,1024,2,15,11,20856340,42,10771937.672788229
baseline_v3,16384,1024,2,15,12,20795392,42,10771937.672788229
baseline_v3,16384,2048,2,16,7,37227001,42,21978482.187348239
baseline_v3,16384,2048,2,16,8,36597036,42,21978482.187348239
baseline_v3,16384,2048,2,16,9,42712428,42,21978482.187348239
baseline_v3,16384,2048,2,16,10,51450402,42,21978482.187348239
baseline_v3,16384,2048,2,16,11,43906544,42,21978482.187348239
baseline_v3,16384,2048,2,16,12,40453980,42,21978482.187348239
optimized_v4,16384,2048,3,1,13,19670721,42,21978482.187348239
optimized_v4,16384,2048,3,1,14,19799129,42,21978482.187348239
optimized_v4,16384,2048,3,1,15,26749423,42,21978482.187348239
optimized_v4,16384,2048,3,1,16,20042889,42,21978482.187348239
optimized_v4,16384,2048,3,1,17,19909439,42,21978482.187348239
optimized_v4,16384,2048,3,1,18,20224385,42,21978482.187348239
optimized_v4,16384,512,3,2,13,5687683,42,5365761.8426366011
optimized_v4,16384,512,3,2,14,6462001,42,5365761.8426366011
optimized_v4,16384,512,3,2,15,8922877,42,5365761.8426366011
optimized_v4,16384,512,3,2,16,7784371,42,5365761.8426366011
optimized_v4,16384,512,3,2,17,10420543,42,5365761.8426366011
optimized_v4,16384,512,3,2,18,8107687,42,5365761.8426366011
optimized_v4,16384,4096,3,3,13,44711153,42,44120056.654433712
optimized_v4,16384,4096,3,3,14,45616881,42,44120056.654433712
optimized_v4,16384,4096,3,3,15,44742722,42,44120056.654433712
optimized_v4,16384,4096,3,3,16,43522272,42,44120056.654433712
optimized_v4,16384,4096,3,3,17,52281005,42,44120056.654433712
optimized_v4,16384,4096,3,3,18,47669117,42,44120056.654433712
baseline_v3,16384,64,3,4,13,1394458,42,660083.65979530779
baseline_v3,16384,64,3,4,14,1387475,42,660083.65979530779
baseline_v3,16384,64,3,4,15,1011344,42,660083.65979530779
baseline_v3,16384,64,3,4,16,1145837,42,660083.65979530779
baseline_v3,16384,64,3,4,17,970774,42,660083.65979530779
baseline_v3,16384,64,3,4,18,928480,42,660083.65979530779
baseline_v3,16384,4096,3,5,13,74198780,42,44120056.654433712
baseline_v3,16384,4096,3,5,14,70188948,42,44120056.654433712
baseline_v3,16384,4096,3,5,15,71007952,42,44120056.654433712
baseline_v3,16384,4096,3,5,16,72670949,42,44120056.654433712
baseline_v3,16384,4096,3,5,17,76733566,42,44120056.654433712
baseline_v3,16384,4096,3,5,18,73941308,42,44120056.654433712
baseline_v3,16384,2048,3,6,13,40431796,42,21978482.187348239
baseline_v3,16384,2048,3,6,14,36437492,42,21978482.187348239
baseline_v3,16384,2048,3,6,15,36167636,42,21978482.187348239
baseline_v3,16384,2048,3,6,16,37029200,42,21978482.187348239
baseline_v3,16384,2048,3,6,17,36353810,42,21978482.187348239
baseline_v3,16384,2048,3,6,18,36405584,42,21978482.187348239
optimized_v4,16384,256,3,7,13,2473097,42,2602783.1043406166
optimized_v4,16384,256,3,7,14,2437171,42,2602783.1043406166
optimized_v4,16384,256,3,7,15,2547557,42,2602783.1043406166
optimized_v4,16384,256,3,7,16,2737207,42,2602783.1043406166
optimized_v4,16384,256,3,7,17,2488901,42,2602783.1043406166
optimized_v4,16384,256,3,7,18,2689334,42,2602783.1043406166
baseline_v3,16384,512,3,8,13,8777199,42,5365761.8426366011
